Step          Temp          TotEng         PotEng         KinEng         Press         Atoms    v_check_T_star
         0   1              0.52151283    -0.97473717     1.49625        0.69547067           400   0.5          
       500   0.90846932     0.54606278    -0.81323444     1.3592972      1.1720075            400   0.5          
      1000   0.9787392      0.62665648    -0.83778205     1.4644385      1.2199919            400   0.5          
      1500   0.98665065     0.68452459    -0.79175144     1.476276       1.7423979            400   0.5          
      2000   1.022701       0.70115518    -0.82906125     1.5302164      1.5276354            400   0.5          
      2500   1.0307238      0.6943321     -0.84788845     1.5422206      1.4842983            400   0.5          
      3000   1.0207683      0.66130731    -0.8660172      1.5273245      1.4250382            400   0.5          
      3500   0.97185274     0.60644709    -0.84768756     1.4541347      1.4786871            400   0.5          
      4000   0.95054978     0.56564273    -0.85661738     1.4222601      1.3148735            400   0.5          
      4500   0.94671872     0.55531733    -0.86121056     1.4165279      1.2385427            400   0.5          
      5000   0.97142641     0.58517595    -0.86832083     1.4534968      1.2349103            400   0.5          
      5500   1.0437469      0.68509724    -0.87660907     1.5617063      1.2945586            400   0.5          
      6000   1.0850364      0.75872263    -0.86476313     1.6234858      1.5778131            400   0.5          
      6500   1.078689       0.74776428    -0.86622415     1.6139884      1.0518664            400   0.5          
      7000   1.0028268      0.70604115   -0.79443844     1.5004796      1.7242946            400   0.5          
      7500   0.99646487     0.66951783    -0.82144273     1.4909606      1.355026             400   0.5          
      8000   0.99497797     0.64387179    -0.844864       1.4887358      1.3423153            400   0.5          
      8500   0.98447961     0.62778619    -0.84524142     1.4730276      1.3389481            400   0.5          
      9000   0.97593038     0.62210929    -0.83812654     1.4602358      1.4617367            400   0.5          
      9500   0.96433619     0.63032275    -0.81256527     1.442888       1.5272921            400   0.5          
     10000   1.0045654      0.67741971    -0.82566134     1.503081       1.3596562            400   0.5          
