# Time-averaged data for fix rdf_avg
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3] c_rdf[4] c_rdf[5] c_rdf[6] c_rdf[7]
1000 100
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0.00127515 9e-05 0.0104322 0.00074 0.00212525 0.00015
44 1.0875 0.301595 0.02239 0.730234 0.055005 0.317013 0.02359
45 1.1125 1.18263 0.1139 3.52429 0.32908 1.25215 0.12048
46 1.1375 1.30218 0.21924 4.29271 0.678085 1.36448 0.23086
47 1.1625 1.26441 0.32607 3.53991 0.978675 1.19588 0.3319
48 1.1875 1.0932 0.42245 2.99607 1.24415 1.23986 0.44121
49 1.2125 1.01388 0.51564 2.55196 1.47989 1.23528 0.55475
50 1.2375 1.1394 0.62473 2.43758 1.71444 1.11329 0.66134
51 1.2625 1.03451 0.72782 2.13542 1.9283 1.07716 0.76868
52 1.2875 0.976204 0.82899 1.92023 2.12831 1.20113 0.89316
53 1.3125 1.15673 0.95357 1.70896 2.31329 1.27781 1.03078
54 1.3375 1.30023 1.09899 1.66623 2.50058 1.25982 1.17168
55 1.3625 1.31809 1.25197 1.50487 2.67612 1.24675 1.31638
56 1.3875 1.17116 1.39293 1.33415 2.8375 1.15221 1.45506
57 1.4125 1.1376 1.53483 1.23282 2.99205 1.12261 1.59509
58 1.4375 1.15264 1.68374 1.20118 3.14801 1.20032 1.75016
59 1.4625 1.12232 1.83382 1.09052 3.29457 1.03034 1.88794
60 1.4875 1.01075 1.97364 1.09938 3.44742 1.03576 2.03122
61 1.5125 1.00019 2.11669 0.963852 3.58596 1.03019 2.17856
62 1.5375 0.974293 2.26068 1.01779 3.73713 1.05008 2.33375
63 1.5625 0.952472 2.40606 0.965376 3.88522 0.981955 2.48363
64 1.5875 1.00071 2.56373 0.902877 4.02819 1.00427 2.64186
65 1.6125 1.08305 2.73979 0.878985 4.1718 0.973369 2.80009
66 1.6375 1.10452 2.92495 0.940106 4.33019 1.06318 2.97832
67 1.6625 0.940587 3.08748 0.897679 4.48609 1.00974 3.1528
68 1.6875 0.914891 3.25036 0.812176 4.6314 0.982014 3.32763
69 1.7125 0.969805 3.42817 0.797292 4.77832 0.886247 3.49012
70 1.7375 1.006 3.61804 0.787219 4.92764 0.946443 3.66875
71 1.7625 0.998514 3.81196 0.809875 5.08572 0.96453 3.85607
72 1.7875 0.985397 4.0088 0.796096 5.24555 0.916213 4.03909
73 1.8125 0.912439 4.1962 0.808732 5.41248 0.83142 4.20985
74 1.8375 0.901139 4.38642 0.766866 5.57517 0.846707 4.38858
75 1.8625 0.886563 4.57869 0.780919 5.74538 0.902609 4.58433
76 1.8875 0.93866 4.78776 0.797962 5.924 0.880923 4.78054
77 1.9125 0.913669 4.99669 0.753218 6.09711 0.964746 5.00115
78 1.9375 0.948788 5.21936 0.792901 6.28413 0.917683 5.21652
79 1.9625 0.980795 5.45552 0.769584 6.47037 0.943708 5.44375
80 1.9875 1.06937 5.71961 0.770249 6.66154 0.965387 5.68216
81 2.0125 1.02741 5.97976 0.79536 6.86395 0.938511 5.9198
82 2.0375 0.965248 6.23028 0.831781 7.08091 0.97384 6.17255
83 2.0625 0.932514 6.47828 0.825601 7.30158 1.0102 6.44121
84 2.0875 1.04095 6.76187 0.928588 7.55583 1.03599 6.72345
85 2.1125 1.11485 7.07291 0.97787 7.83002 0.977748 6.99624
86 2.1375 1.13349 7.39668 0.999683 8.11701 1.08794 7.307
87 2.1625 1.11585 7.72291 1.06672 8.43044 1.1312 7.63772
88 2.1875 1.09607 8.05081 1.06075 8.74938 1.12441 7.9741
89 2.2125 1.13927 8.39947 1.05173 9.07286 1.09833 8.31023
90 2.2375 1.15326 8.76043 1.06274 9.40716 1.09134 8.65181
91 2.2625 1.21803 9.15023 1.06139 9.74854 1.13082 9.0137
92 2.2875 1.17049 9.53314 1.05084 10.094 1.09086 9.37056
93 2.3125 1.11331 9.90535 1.09001 10.4603 1.12399 9.74634
94 2.3375 1.1636 10.3028 1.11552 10.8433 1.08743 10.1178
95 2.3625 1.11254 10.691 1.07513 11.2203 1.04763 10.4834
96 2.3875 1.12764 11.0929 1.1135 11.6191 1.03007 10.8504
97 2.4125 1.08573 11.4879 1.11083 12.0253 1.12228 11.2588
98 2.4375 1.07014 11.8854 1.11654 12.4421 1.06643 11.6549
99 2.4625 1.05008 12.2835 1.06422 12.8476 1.00988 12.0378
100 2.4875 0.975025 12.6607 1.03821 13.2513 1.01269 12.4295
2000 100
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0.00283367 0.0002 0.025587 0.001815 0.00226694 0.00016
44 1.0875 0.292939 0.02186 0.807207 0.0618 0.326615 0.02431
45 1.1125 1.19968 0.11469 2.70029 0.271795 0.958016 0.09844
46 1.1375 1.41133 0.22886 2.99083 0.514955 1.17213 0.19326
47 1.1625 1.26547 0.33578 2.62352 0.73773 1.42088 0.31331
48 1.1875 1.24792 0.4458 2.5162 0.96068 1.28342 0.42646
49 1.2125 1.24529 0.56026 2.3426 1.17708 1.33636 0.54929
50 1.2375 1.33179 0.68777 2.2936 1.39778 1.3343 0.67704
51 1.2625 1.14249 0.80162 2.0821 1.6063 1.3157 0.80815
52 1.2875 1.12963 0.91869 1.92037 1.80633 1.19447 0.93194
